program_name_en,category,program_id,university
MSc Social and Cultural Psychology,社会学与社工,2ef815d9-81de-4fd4-a6cc-63d460f10f85,The London School of Economics and Political Science
MSc Culture and Society,社会学与社工,eb840d1d-198c-4753-a945-0a44485540a5,The London School of Economics and Political Science
MSc Economy and Society,社会学与社工,52c95ff4-8be6-4c3b-a765-484e66aa82f8,The London School of Economics and Political Science
MSc Inequalities and Social Science,社会学与社工,14105cfd-701d-462b-a8db-988659f703fa,The London School of Economics and Political Science
MSc Political Sociology,社会学与社工,0c3dc846-b034-4a71-9e3f-6b7f47be5905,The London School of Economics and Political Science
MSc Sociology,社会学与社工,8ad0b382-6ded-4d9e-8efe-68caef744300,The London School of Economics and Political Science
MSc Human Rights and Politics,社会学与社工,886f59fc-a840-4c3e-8423-75688b926cda,The London School of Economics and Political Science
MSc Social Anthropology (Religion in the Contemporary World),社会学与社工,99df2c18-cb5c-4fc9-a161-f007381121c7,The London School of Economics and Political Science
"MSc Culture, Justice and Environment",社会学与社工,0994157a-d630-4bcf-97ee-cfcf51969210,The London School of Economics and Political Science
Master of Criminology,社会学与社工,9aff6eda-b336-47ea-b032-ef301afcf757,Katholieke Universiteit Leuven
Master of Sociology,社会学与社工,c244749f-6ccc-4d37-8960-94635cb12a4e,Katholieke Universiteit Leuven
Master of Social and Cultural Anthropology,社会学与社工,ebc4ae19-ee7e-45a6-ab28-991c5d44878f,Katholieke Universiteit Leuven
Master of Social Work,社会学与社工,5ce8e294-b7d5-4085-97f7-75c52c94214e,City University of Hong Kong
MA Applied Social Sciences,社会学与社工,92df6c80-b2ca-45a4-a148-2626a65c5d35,City University of Hong Kong
Master's in Computational Social Science,社会学与社工,7a638a7b-3546-47e3-9096-87e0eb44a552,"University of California, San Diego"
Master of Social Work,社会学与社工,286ea909-16e8-404d-a454-8e21d8140048,University of Texas at Austin
Master of Social Work,社会学与社工,30b0fc9b-9c10-4af3-9fdf-71e0be4cda28,University of Illinois at Urbana-Champaign
MA Social and Political Thought,社会学与社工,5fb8abd7-75e4-47e9-ae01-3bae33dabfac,The University of Warwick
MA Sociology,社会学与社工,69b5b5a6-3384-4a8e-98ff-f4f4939b1b4f,The University of Warwick
MSc Social Inequalities and Research Methods,社会学与社工,9792962e-4d52-4f38-b910-695077887f71,The University of Warwick
"MASc Community, Engagement, and Belonging",社会学与社工,c16cca08-bcfe-4978-a7f8-441dd67bb38d,The University of Warwick
MA Social Work,社会学与社工,acfc5c5d-dcf4-4d1f-b783-49a5da351ba8,University of Birmingham
MA Social Policy,社会学与社工,726ce70a-43e6-4b25-bd64-868b199eae93,University of Birmingham
MA Sociology,社会学与社工,95df06c0-924c-4548-b47a-91f534cea104,University of Birmingham
MA Global Criminology and Criminal Justice,社会学与社工,942c4e7e-b4f1-45ea-ac52-51305f826d55,University of Birmingham
Master of Social Work,社会学与社工,94628109-d66e-444b-8689-1615be955bc1,The University of Western Australia
MSc Criminology & Criminal Justice,社会学与社工,8cc00268-d1b2-4d6f-8cd7-4eea6c5b58e0,University of Glasgow
MSc Sociology,社会学与社工,6c0cab2c-2192-4f9c-b5f8-2505011d8deb,University of Glasgow
MSc Global Migrations & Social Justice,社会学与社工,bbc84d1a-8eb8-4ca6-b8c9-28e308bc9fe1,University of Glasgow
MSc Digital Society,社会学与社工,cd6c9190-d64c-4b40-8957-b496f0327c4c,University of Glasgow
Master of Arts in Anthropology,社会学与社工,26392e76-2b1a-42e1-901d-ae16b7d063cb,Heidelberg University
Master of Social Work,社会学与社工,92ed54a0-7431-4480-909e-7be92b23e71e,University of Washington
Master of Social Work,社会学与社工,f0aaa8b1-d384-40d8-a163-3d4ad99f0fb8,The University of Adelaide
MA Gender Studies,社会学与社工,c5741cf3-3d21-4a08-ad2a-88c273a1b246,University of Leeds
MSc Criminal Justice and Criminology,社会学与社工,8310284c-5765-43b9-9f5a-9085b2a21f20,University of Leeds
MA Social Research,社会学与社工,fb103c8f-64c0-4cd4-a80e-289b4906dde6,University of Leeds
MSc Inequalities and Social Science,社会学与社工,6bde7c40-800a-40a9-aaff-8a7438b12653,University of Leeds
MSc International Criminology and Criminal Justice,社会学与社工,c333d211-e7f6-4ced-80f9-a2508f68a323,University of Southampton
MSc Social Research Methods with Demography,社会学与社工,20e4ce8c-4470-4d45-a110-053944f9114d,University of Southampton
MSc Social Research Methods with Applied Statistics,社会学与社工,e1f8b682-1a61-4eeb-8614-ec57ab2059c9,University of Southampton
"MSc Global Sociology: Challenges, Interventions and Action",社会学与社工,2e6a9cb2-38e2-46bc-bc6f-10505bb8c24a,University of Southampton
MSc Gerontology,社会学与社工,380e893c-6ff9-4b2b-b7ac-a824d67d1b7d,University of Southampton
MSc Gerontology: Research,社会学与社工,01d22740-a31e-4424-a7bb-5831da4dd2d0,University of Southampton
MA in Sociology,社会学与社工,b6d71139-4fbf-414c-becf-e9a03f66d42c,Boston University
Master of Social Work,社会学与社工,e2343d5f-b91f-4b20-ae72-f0e508a8710b,Boston University
MS in Criminal Justice,社会学与社工,eb292641-356c-4e7d-82f9-d31b65dc8760,Boston University
MA Social Research,社会学与社工,1ebb9cc2-a619-4cba-816a-5e30eab0a0cf,The University of Sheffield
MA Social Work,社会学与社工,d6734127-4cf4-4765-b89e-318ef8461c60,The University of Sheffield
MA International Criminology,社会学与社工,0e717628-732d-4fd2-aad7-ddb3286d27c0,The University of Sheffield
MA Sociology,社会学与社工,3157a7c5-9f2e-45f5-8c34-9f429172c7a8,The University of Sheffield
MA Socio-Cultural Anthropology,社会学与社工,5d4422eb-edcb-44b5-9f44-48b78ff84047,Durham University
MA Social Research Methods,社会学与社工,c23fa6f3-dc1a-401b-a393-01f090dd6c91,Durham University
Master of Social Work,社会学与社工,621710c1-1ca6-40a0-9ea4-bed714472957,Durham University
MSc Behavioural Science,社会学与社工,e45e0d38-e3b2-4b6f-ab6e-1147c09b561a,Durham University
MSc Criminology and Criminal Justice,社会学与社工,5aa42954-813c-4e76-ad03-d4e1189cc32a,Durham University
MSc Sociology,社会学与社工,3862533e-2b5f-43c7-ae9b-8870309ed179,Durham University
MSc Global and Planetary Health,社会学与社工,12a174d1-9b46-4a6b-a29b-e4ebc9be37a2,Durham University
MA Interdisciplinary Research Methods,社会学与社工,b86d542a-b0da-4025-84c2-14a0103dc838,Durham University
MA Social Work,社会学与社工,e9c596e7-1950-4571-bc57-ce01352c736f,University of Nottingham
MA Criminology and Criminal Justice,社会学与社工,c5d28107-3af7-43aa-8159-36bacda5ab4e,University of Nottingham
MA Social Science Research (Sociology),社会学与社工,7b692c34-7ab4-4d90-b1a4-72077fb9e38f,University of Nottingham
MA Social Science Research (Social Policy and Social Work),社会学与社工,ca4f5efa-2757-4eb6-ac93-dd5d00bb924d,University of Nottingham
MA Social Science Research (Criminology),社会学与社工,9f1781ce-750b-42be-9c71-8af12ef6e7aa,University of Nottingham
