大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
"University of California, San Diego",MA,M.A. in Pure Mathematics,物理科学部,,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/ma-pure-mathematics,,
University of Southern California,M.A.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.S.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.A.,Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.A.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.S.,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,M.A.,Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,PhD,Applied Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
University of Southern California,PhD,Mathematics,文理学院,,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,,
"University of Texas, Austin",PHD,Mathematics,自然科学学院,,https://www.ma.utexas.edu/academics/graduate/admissions,https://www.ma.utexas.edu/academics/graduate/,,
"University of Texas, Austin",MA,Mathematics- Actuarial program,自然科学学院,,https://www.ma.utexas.edu/academics/graduate/admissions,https://www.ma.utexas.edu/academics/graduate/,,
"University of Texas, Austin",MSCSEM,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,,https://www.oden.utexas.edu/academics/prospective-students/how-to-apply/,https://www.oden.utexas.edu/academics/masters-program/,,
"University of Texas, Austin",Ph.D.,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,,https://www.oden.utexas.edu/academics/prospective-students/how-to-apply/,https://www.oden.utexas.edu/academics/phd-program/,,
"University of California, Irvine",MS,Mathematics M.S.,物理科学学院,,https://www.math.uci.edu/admission,https://www.math.uci.edu/graduate,,
"University of California, Irvine",Ph.D.,Mathematics Ph.D.,物理科学学院,,https://www.math.uci.edu/admission,https://www.math.uci.edu/graduate,,
"University of California, Irvine",Ph.D.,Logic & Philosophy of Science Ph.D.,社会科学学院,,https://www.lps.uci.edu/grad/admissions.php,https://www.lps.uci.edu/grad/overview.php,,
Georgia Institute of Technology,Ph.D,"Algorithms, Combinatrics, and Optimization",计算机学院,,https://aco.gatech.edu/admissions/admission-aco-program,https://aco.gatech.edu/,,
Georgia Institute of Technology,M.S.,Mathematics,科学学院,,https://grad.gatech.edu/degree-programs/mathematics,https://math.gatech.edu/graduate/graduate-programs,,
Georgia Institute of Technology,Ph.D,Mathematics,科学学院,,https://grad.gatech.edu/degree-programs/mathematics,https://math.gatech.edu/graduate/graduate-programs,,
"University of California, Santa Barbara",MA,Applied Mathematics  ,文理学院,,https://www.graddiv.ucsb.edu/graduate-programs/departments/applied-mathematics,https://www.math.ucsb.edu/graduate/masters,,
"University of California, Santa Barbara",MA,Mathematics  ,文理学院,,https://www.graddiv.ucsb.edu/graduate-programs/departments/mathematics,https://www.math.ucsb.edu/graduate/masters,,
"University of California, Santa Barbara",MA/PhD,Mathematics  ,文理学院,,https://www.graddiv.ucsb.edu/graduate-programs/departments/mathematics,https://www.math.ucsb.edu/graduate/phd,,
"University of California, Santa Barbara",PHD,Mathematics  ,文理学院,,https://www.graddiv.ucsb.edu/graduate-programs/departments/mathematics,https://www.math.ucsb.edu/graduate/phd,,
New York University,MS,Mathematics,文理研究生院,,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://math.nyu.edu/dynamic/graduate/ms-gsas/ms-mathematics/,,
New York University,MS,Mathematics,文理研究生院,,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://math.nyu.edu/dynamic/graduate/ms-gsas/ms-mathematics/,,
New York University,MS,Mathematics,文理研究生院,,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://math.nyu.edu/dynamic/graduate/ms-gsas/ms-mathematics/,,
New York University,Ph.D,Mathematics,文理研究生院,,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://math.nyu.edu/dynamic/graduate/phd-mathematics/overview/,,
New York University,Ph.D,Mathematics-Atmosphere Ocean Science,文理研究生院,,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://caos.cims.nyu.edu/dynamic/phd-program/overview/,,
New York University,MS,Mathematics,工程学院,,https://engineering.nyu.edu/admissions/graduate/apply/requirements,https://engineering.nyu.edu/academics/programs/mathematics-ms,,
"University of Wisconsin, Madison",MA,Mathematics,文理学院,,https://guide.wisc.edu/graduate/mathematics/mathematics-ma/mathematics-foundations-advanced-studies-ma/#admissionstext,https://math.wisc.edu/graduate/master-of-arts-foundation-of-studies/,,
"University of Wisconsin, Madison",MA,Mathematics,文理学院,,https://guide.wisc.edu/graduate/mathematics/mathematics-ma/mathematics-foundations-advanced-studies-ma/#admissionstext,https://math.wisc.edu/graduate/master-of-arts-foundation-of-studies/,,
"University of Wisconsin, Madison",PHD,Mathematics,文理学院,,https://guide.wisc.edu/graduate/mathematics/mathematics-phd/#admissionstext,https://math.wisc.edu/graduate/phd-program/,,
"University of Illinois, Urbana-Champaign",PHD,Mathematics,文理学院,,https://math.illinois.edu/admissions/graduate-admissions/apply-phd-program,https://math.illinois.edu/academics/graduate-program-mathematics,,
"University of Illinois, Urbana-Champaign",PHD,Mathematics:Actuarial Science & Risk Analytics ,文理学院,,https://math.illinois.edu/admissions/graduate-admissions/apply-phd-program,https://math.illinois.edu/academics/graduate-program-mathematics,,
"University of Illinois, Urbana-Champaign",MMS,Master's of Mathematical Sciences ,文理学院,,https://math.illinois.edu/admissions/graduate-admissions/apply-ms-programs,https://math.illinois.edu/academics/graduate-program-mathematics,,
"University of Illinois, Urbana-Champaign",MS,"Applied Mathematics, MS",文理学院,,https://math.illinois.edu/admissions/graduate-admissions/apply-ms-programs,https://math.illinois.edu/academics/graduate-program-mathematics,,
Boston College,Ph.D.,Mathematics,文理学院,,https://www.bc.edu/content/bc-web/schools/morrissey/graduate/admission.html#requirements,https://www.bc.edu/content/bc-web/schools/morrissey/departments/math/graduate.html,,
University of Washington,MS,Applied Mathematics (MS),文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-25,https://amath.washington.edu/masters-programs,,
University of Washington,MS,Master of Science in Applied and Computational Mathematics,文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-15-25,https://amath.washington.edu/masters-programs,,
University of Washington,PHD,Applied Mathematics (PhD),文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-41,https://amath.washington.edu/phd-program,,
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-41,https://amath.washington.edu/phd-program,,
University of Washington,MA,Mathematics (MA) ,文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-MATH-00-25,https://math.washington.edu/graduate-program,,
University of Washington,MS,Mathematics (MS) ,文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-MATH-00-25,https://math.washington.edu/graduate-program,,
University of Washington,PHD,Mathematics (PhD) ,文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-MATH-00-30,https://math.washington.edu/graduate-program,,
University of Washington,PHD,Mathematics (PhD) —Data Science Option,文理学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-MATH-00-30,https://math.washington.edu/graduate-program,,
"Rutgers University, New Brunswick",MS,Mathematics,文理学院,,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG0QAI,https://www.math.rutgers.edu/academics/graduate-program/program-description,,
"Rutgers University, New Brunswick",MS,Mathematics,文理学院,,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gG0QAI,https://www.math.rutgers.edu/academics/graduate-program/program-description,,
"Rutgers University, New Brunswick",PHD,Mathematics,文理学院,,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?id=a501U0000004gFfQAI,https://www.math.rutgers.edu/academics/graduate-program/program-description,,
