大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,专业类别
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,Continuing & Professional Studies,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,https://caps.washu.edu,
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,School of Continuing & Professional Studies,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,https://caps.wustl.edu/,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,Warrington College of Business,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,https://warrington.ufl.edu,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,UF Warrington College of Business,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,https://warrington.ufl.edu,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,Warrington College of Business,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,https://warrington.ufl.edu,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,Warrington College of Business,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,https://warrington.ufl.edu,
"University of California, Davis",MS,Statistics- DATA SCIENCE TRACK (48 units),文学与科学学院,College of Letters and Science,https://statistics.ucdavis.edu/grad/admissions,https://statistics.ucdavis.edu/grad/ms,https://lettersandscience.ucdavis.edu/,
"University of California, San Diego",PhD,Data Science,数据科学研究所,Halıcıoğlu Data Science Institute,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/phd-program/,https://datascience.ucsd.edu,
"University of California, San Diego",MS,Data Science,数据科学研究所,Halıcıoğlu Data Science Institute,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/ms-program/,https://datascience.ucsd.edu,
"University of California, San Diego",MS,Machine Learning and Data Science ,工程学院,Jacobs School of Engineering,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,https://jacobsschool.ucsd.edu,
