大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,所属院系网址
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,,
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,,
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,,
"University of Minnesota, Twin Cities",MS,M.S. in Data Science for Chemical Engineering and Materials Science,理工学院,,https://cse.umn.edu/cems/master-science-data-science,https://cse.umn.edu/cems/ms-data-science,,
"University of Minnesota, Twin Cities",PHD,health informatics：Data Science & Informatics Track,健康信息学研究所,,https://healthinformatics.umn.edu/graduate-program/phd-graduate-program/data-science-informatics-track,https://healthinformatics.umn.edu/graduate-program/health-informatics-phd-graduate-program,,
"Pennsylvania State University, University Park",PHD,Social Data Analytics,人文科学学院,,,https://soda.la.psu.edu/programs/graduate-program/,,
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,,
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,,
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,,
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,,
University of Miami,MS, Master of Science in Data Science：Smart Cities (School of Architecture),文理学院,,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,
University of Miami,MS, Master of Science in Data Science：Data Visualization (School of Communication),文理学院,,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,
University of Miami,MS, Master of Science in Data Science：Marine & Atmospheric Science (Rosenstiel School of Marine & Atmospheric Sciences),文理学院,,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,
University of Miami,MS, Master of Science in Data Science：Educational Measurement & Statistics (School of Education & Human Development),文理学院,,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,
University of Miami,MS, Master of Science in Data Science：Marketing (Miami Herbert Business School),文理学院,,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac.html,,
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac.html,,
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt.html,,
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt.html,,
